三国演义（全二册）,9.2,99093人评价,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元
哈利·波特与混血王子,8.8,100853人评价,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元
牧羊少年奇幻之旅,8.6,101932人评价,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元
哈利·波特与凤凰社,8.7,97270人评价,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元
1Q84 BOOK 1,8.3,104643人评价,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元
悟空传,8.3,104306人评价,今何在 / 光明日报出版社 / 2001-4 / 14.80元
哈利·波特与死亡圣器,9.0,91636人评价,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2007-10 / 66.00元
局外人,9.0,93175人评价,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元
苏菲的世界,8.5,97144人评价,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元
向左走·向右走,8.4,97411人评价,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元
白鹿原,8.7,91663人评价,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元
无声告白,8.2,99413人评价,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元
天龙八部,9.1,87369人评价,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0
茶花女,8.2,94874人评价,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元
基督山伯爵,9.0,84948人评价,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元
了不起的盖茨比,8.4,91355人评价,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元
呼啸山庄,8.4,91544人评价,（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元
一个陌生女人的来信,8.7,88315人评价,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元
亲爱的安德烈,8.6,89817人评价,龙应台 / 人民文学出版社 / 2008-12 / 26.00
沉默的大多数,9.1,80607人评价,王小波 / 中国青年出版社 / 1997-10 / 27.00元
灿烂千阳,8.8,80308人评价,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元
福尔摩斯探案全集（上中下）,9.2,75973人评价,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元
无人生还,8.9,79075人评价,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00
东方快车谋杀案,9.0,77934人评价,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元
笑傲江湖（全四册）,9.0,76388人评价,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元
莲花,8.0,88267人评价,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元
海边的卡夫卡,8.1,84164人评价,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元
巴黎圣母院,8.4,80149人评价,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元
兄弟（上）,8.3,79678人评价,余华 / 上海文艺出版社 / 2005-8 / 16.00元
我不喜欢这世界，我只喜欢你,8.0,79537人评价,乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元
情书,8.6,75597人评价,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元
城南旧事,9.0,72450人评价,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元
呐喊,8.9,71823人评价,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元
羊脂球,8.1,78445人评价,（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元
肖申克的救赎,9.1,69854人评价,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元
乌合之众,8.2,79007人评价,（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元
动物农场,9.2,68674人评价,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元
少有人走的路,8.4,75035人评价,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元
安徒生童话故事集,9.2,67616人评价,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元
神雕侠侣,8.9,69686人评价,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元
爱你就像爱生命,8.8,69389人评价,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元
红玫瑰与白玫瑰,8.4,70495人评价,张爱玲 / 花城出版社 / 1996-06 / 12.80元
朝花夕拾,8.7,64162人评价,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元
当我谈跑步时我谈些什么,8.2,69951人评价,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00
阿Q正传,8.7,63425人评价,鲁迅 著 / 上海书店出版社 / 2003-7 / 14.50元
民主的细节,8.6,65362人评价,刘瑜 / 上海三联书店 / 2009-6 / 25.00
遇见未知的自己,8.0,69785人评价,张德芬 / 华夏出版社 / 2008-1 / 29.00
鬼吹灯之精绝古城,8.1,65632人评价,天下霸唱 / 安徽文艺出版社 / 2006 / 25.00元
梦里花落知多少,8.8,61372人评价,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元
海底两万里,8.5,62102人评价,[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元
巨人的陨落,8.9,57923人评价,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元
半生缘,8.6,59754人评价,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元
华胥引（全二册）,8.4,63033人评价,唐七公子 / 现代出版社 / 2011-1 / 39.80元
一只特立独行的猪,8.8,57863人评价,王小波 / 北方文艺出版社 / 2006-4 / 18.80元
格林童话全集,9.0,55344人评价,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元
射雕英雄传（全四册）,9.0,53898人评价,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元
杀死一只知更鸟,9.2,52711人评价,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元
一个人的朝圣,8.1,60553人评价,[英] 蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80
陪安东尼度过漫长岁月,8.3,60322人评价,安东尼 / 长江文艺出版社 / 2008-3 / 18.00
你今天真好看,8.6,55361人评价,[美]莉兹•克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元
这些都是你给我的爱,8.3,57781人评价,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元
喜宝,8.0,58464人评价,亦舒 / 新世界出版社 / 2007-2 / 22.00元
这些人，那些事,8.8,52211人评价,吴念真 / 译林出版社 / 2011-9 / 28.00元
如何阅读一本书,8.4,54813人评价,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元
孩子你慢慢来,8.8,51797人评价,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元
麦琪的礼物,8.6,49816人评价,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元
流浪地球,8.6,50490人评价,刘慈欣 / 湖北长江出版集团，长江文艺出版社 / 2008-11 / 28.00元
查令十字街84号,8.3,51325人评价,[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元
雷雨,8.6,48414人评价,曹禺 / 人民文学出版社 / 1999-05 / 9.20
菊与刀,8.2,51290人评价,（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00
水浒传（全二册）,8.6,47347人评价,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元
西游记（全二册）,8.9,45640人评价,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元
刀锋,9.0,45526人评价,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元
地下铁,8.3,48624人评价,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元
步步惊心,8.1,49946人评价,桐华 / 民族出版社 / 2006-6 / 25.00元
